REVIEW_ID,MEMBER_ID,Reviews,sentiment_label
a2p1U000000Ro7KQAS,0011U00000rjF6eQAE,everything    dr gray listened and offered feedback i never felt rushed i had an awesome appt  thank youvant think of anything,Negative
a2p3g000000L0RrAAK,0011U00000riHDHQA2,friendly and professional staff clean and calm waiting room,Negative
a2p1U000000RoGYQA0,0011U00000rjxhBQAQ,i love that my doctor spends time with me and follows up on things we talked about during my last appointment  i never feel rushed  which is why i left my last doctor ,Negative
a2p1U000000Rot5QAC,0011U00000rk4ksQAA,went in to have eye checked for possible corneal abrasion    when they got the kit to check  they realized they did not have the stain necessary to do so   since the only kit they had was the incomplete kit  it was a waste of time to go in  they said they did not know when the supplies would be in  needed to make arrangements to get help elsewhere    did not offer the service care promised in the timely fashion promised when paladina services were pitched to us got appointment easily enough without needed to wait  unfortunately  even though they knew what was needed for my appointment when i called to make the appointment that morning  they did not have the necessary supplies to provide the services needed was unable to get treatment or help when i arrived as the office did not have the needed supplies even though they knew what was needed when i called to make the appointment ,Negative
a2p1U000000Ro5gQAC,0011U00000ri0GGQAY,addressed all my issues and concerns n a,Negative
a2p3g000000KzJ8AAK,0011U00000rjAk1QAE,dr e is always so kind and takes the time to listen and process before responding  i am so grateful for your kind care the gal at the front desk is never very kind but hey i can     t imagine having to interact with that many sick people everyday so i get it ,Negative
a2p3g000000pM4OAAU,0013g000003p3hcAAA,i have difficult veins to draw blood from and they     re always patient and kind which i appreciate ,Negative
a2p3g000000L1PRAA0,0011U00000rjtsuQAA,it is so easy to get in contact with my physicians   same day phone calls make it easy to assess whether you need to go into the office for care ,Negative
a2p1U000000RoxWQAS,0011U00000rjRAnQAM,i have only had one visit with paladina   so far it seems good doctor was on time and spent a lot of time with me   i felt he was caring and trustworthy there was nothing that wasn     t done well during my appointment ,Negative
a2p3g000000KzprAAC,0011U00000rjbv6QAA,the doctors at my clinic always do the absolute least amount of care possible  even when it is clear that testing might be warranted for diagnosis  they won     t even do screening tests  they quickly  and not thoughtfully  come to a conclusion without giving the benefit of the doubt that a problem might not be just superficial you returned my call in a timely manner you didn     t actually listen to my concerns  rather you decided what was wrong with me before knowing all the symptoms and circumstances surrounding the onset of my symptoms ,Negative
