REVIEW_ID,MEMBER_ID,Reviews,sentiment_label
a2p3g000000LAe2AAG,0011U00000riuzfQAA,,Neutral
a2p3g000000LAenAAG,0011U00000rieIYQAY,,Neutral
a2p1U000000l8FEQAY,0011U00000rjZH9QAM,answer all my questions,Neutral
a2p1U000000RvKnQAK,0011U00000rjGseQAE,,Neutral
a2p3g000000pnkRAAQ,0011U00000rijxIQAQ,,Neutral
a2p3g000000pg9nAAA,0011U00000t40KuQAI,scheduling  diagnosis and recommendationsnone,Neutral
a2p1U000000RvD9QAK,0011U00000rhvnGQAQ,thorough,Neutral
a2p1U000000RoRHQA0,0011U00000ri4oyQAA,informative,Neutral
a2p1U000000RoLcQAK,0011U00000rjF6eQAE,,Neutral
a2p3g000000oRlfAAE,0011U00000rjpFpQAI,,Neutral
a2p1U000000RvYfQAK,0011U00000ri6NyQAI,dr lee called me early and we were quickly able to determine what was needed for our phone consultation dr lee wasn     t initially aware of why she was calling me  needed her to fill out a form for blood donations regarding my health  ,Neutral
a2p1U000000RoSBQA0,0011U00000rhqnDQAQ,,Neutral
a2p1U000000RvfgQAC,0011U00000rhqqhQAA,,Neutral
a2p3g000000pvS6AAI,0011U0000125IubQAE,,Neutral
a2p1U000000l8EUQAY,0011U00000rkAXPQA2,,Neutral
a2p1U000000Rp2UQAS,0011U00000rk5LCQAY,,Neutral
a2p1U000000RpxfQAC,0011U00000riNWZQA2,,Neutral
a2p1U000000RqDYQA0,0011U00000rjpTiQAI,,Neutral
a2p1U000000RoJtQAK,0011U00000rij9jQAA,,Neutral
a2p1U000000RqA1QAK,0011U00000riwBbQAI,listened,Neutral
a2p1U000000RohQQAS,0011U00000rjmRhQAI,,Neutral
a2p1U000000RpwIQAS,0011U00000ri5EDQAY,answered all of my questionsnothing,Neutral
a2p3g000000LActAAG,0011U00000rkBY5QAM,,Neutral
a2p1U000000Rq0yQAC,0011U00000rjgM9QAI,,Neutral
a2p3g000000pLyVAAU,0011U00000rjHHEQA2,consult with doctor and lab tests ,Neutral
a2p3g000000KyuoAAC,0011U00000rja0jQAA,explained situation that i have showed online options to assist me with exercises na,Neutral
a2p3g000000pWEYAA2,0011U00000riFIlQAM,,Neutral
a2p1U000000RpIMQA0,0011U00000rj1C2QAI,,Neutral
a2p1U000000RqDsQAK,0011U00000rjopmQAA,,Neutral
a2p3g000000pN1BAAU,0011U00000riWJsQAM,,Neutral
a2p1U000000RoFVQA0,0011U00000riXesQAE,,Neutral
a2p3g000000ozCGAAY,0011U00000sgxpUQAQ,conversation,Neutral
a2p1U000000RoQZQA0,0011U00000rihbkQAA,,Neutral
a2p1U000000Rpy2QAC,0011U00000rjPNyQAM,,Neutral
a2p3g000000owM5AAI,0011U00000rhwPFQAY,,Neutral
a2p3g000000Kyo0AAC,0011U000010pP77QAE,,Neutral
a2p3g000000KzsYAAS,0011U00000rj7sjQAA,listened to my needs and helped me n a,Neutral
a2p1U000000RoVcQAK,0011U00000rhxrfQAA,,Neutral
a2p1U000000RohxQAC,0011U00000rippJQAQ,,Neutral
a2p3g000000KzrLAAS,0011U00000rjPNrQAM,listened,Neutral
a2p1U000000RpxxQAC,0011U00000rj9hLQAQ,check up for cold coughn a,Neutral
a2p1U000000Rp79QAC,0011U00000ricdVQAQ,,Neutral
a2p1U000000RpvIQAS,0011U00000ri8jyQAA,initial appointmentnothing,Neutral
a2p1U000000l8BnQAI,0011U00000rjcbVQAQ,yearly exam,Neutral
a2p1U000000l8HKQAY,0011U00000riqQkQAI,,Neutral
a2p1U000000RolWQAS,0011U00000rjwT5QAI,i don     t know many people who don     t have paladina physical ,Neutral
a2p3g000000oeVtAAI,0011U00000rjyg3QAA,,Neutral
a2p3g000000KzvrAAC,0011U00000rk63xQAA,,Neutral
a2p1U000000RoVJQA0,0011U00000rjDl4QAE,helped me,Neutral
a2p3g000000psaqAAA,0011U00000rhyAfQAI,,Neutral
a2p3g000000Kzw2AAC,0011U00000rii9JQAQ,gave me time to explain issues  and even asked about something unrelated to this visit,Neutral
a2p1U000000Rq8uQAC,0011U00000rkCBRQA2,,Neutral
a2p3g000000KzMGAA0,0011U00000rioveQAA,,Neutral
a2p1U000000Rpx5QAC,0011U00000rjV3bQAE,,Neutral
a2p1U000000RoOkQAK,0011U00000rk1NFQAY,,Neutral
a2p1U000000RvPYQA0,0011U00000rjB56QAE,they get right to the point blood work and shoulder,Neutral
a2p3g000000owNOAAY,0011U00000rjwhSQAQ,,Neutral
a2p1U000000RpJJQA0,0011U00000rjlFCQAY,,Neutral
a2p3g000000puSFAAY,0011U00000rj75aQAA,,Neutral
