REVIEW_ID,MEMBER_ID,Reviews,sentiment_label
a2p1U000000RoK0QAK,0011U00000riNolQAE,very kind and caring provide comfortable seats,Positive
a2p1U000000Rv9VQAS,0011U00000rjesHQAQ,i like the facility and the doctor   i felt comfortable and felt like the doctor took time with me greeting me   discussing all the issues i wanted to    i didn     t feel rushed    i had my appt  and med within a hour make sure the customer knows where you called the prescription into   i     ve moved a lot and had several pharmacy     s    i verified before i left the appt ,Positive
a2p1U000000RoNbQAK,0011U00000ri84ZQAQ,very caring staff   plenty of time for me to ask questions and get straight forward answers nothing ,Positive
a2p1U000000RoDWQA0,0011U00000riaUNQAY,dr   was very good   listened to my concerns  was helpful  explained everything   very pleased with her the nurse seemed like i was a bother to her ,Positive
a2p3g000000pHyRAAU,0011U00000riaUNQAY,dr  ritter answered all my questions and addressed all of my concerns  laura was pleasant and efficient as well  i know either covid they have been stretched thin  but didnt take it out on me ,Positive
a2p1U000000l8DoQAI,0011U00000sgxU0QAI,everyone was friendly and efficientnothing,Positive
a2p3g000000LAZtAAO,0011U00000rhz7AQAQ,personal experience always top notch,Positive
a2p1U000000RoFZQA0,0011U00000rjUzzQAE,from the moment i enter the doctor officer i felt welcoming and dr pearl was amasing  she made me felt comfort and at ease  even to the nurse assistant was friendly and did a great job not forgeting they were very informative no complain   you give did everything well for me ,Positive
a2p1U000000Rvi6QAC,0011U00000rjFL7QAM,everyone was friendly and the doc has great bedside manners i can     t think of anything that wasn     t done well ,Positive
a2p3g000000owOoAAI,0011U00000rk0h5QAA,the staff and provider were caring  kind and compassionate  it was as if i was visiting with a trusted friend  loved it keep doing what you are doing,Positive
a2p1U000000RoRvQAK,0011U00000riPVoQAM,april has a way of making you feel relaxed  and i appreciate how kind  caring  and professional she is everything was excellent ,Positive
a2p1U000000RpKnQAK,0011U00000rjSbbQAE,swift and courteous professional service and staff paladina the best   n a,Positive
a2p3g000000pniBAAQ,0011U00000rjcJ3QAI,due to health issues i was experiencing  i really needed to speak to kim spencer rather early in the morning  as she is who i see most for appointments  i need to guidance as to what medical attention i needed to take  and i was quickly able to connect with her for direction and further medical instruction   kim was was quick to get back to me along with seeing me scheduled to see dr  mccay later that afternoon ,Positive
a2p1U000000RpLkQAK,0011U00000rjpXEQAY,vision test discussion on my condition msalways excellent service,Positive
a2p1U000000RvcwQAC,0011U00000rk45RQAQ,excellent doctor patient interaction loved the new rn that was onzip,Positive
a2p1U000000RoKlQAK,0011U00000rjnPZQAY,appointment started right on time  doctor was thorough and interested in finding out about any problems i was having nothing,Positive
a2p3g000000Kyq1AAC,0011U00000rjfksQAA,everything went well   i walked up early monday morning and was able to get an appointment for four hours later   my appointment started on time and the doctor asked a lot of questions to nail down what was wrong   this is an incredible benefit to humana employees nothing   there is nothing to say  it was great ,Positive
a2p3g000000pXz6AAE,0011U00000rj0e5QAA,dr  thomas is a great listener and i always leave feeling like she understands my concerns ,Positive
a2p3g000000KzB8AAK,0011U00000riMqxQAE,kim and dr carrie are both caring and compassionate  i always have a good experience and am very thankful for them ,Positive
a2p1U000000RvMkQAK,0011U00000rj7oaQAA,todo  no tengo la m atilde  shy nima quejatodo  estuvo bien,Positive
a2p3g000000KzKkAAK,0011U00000rjZ0dQAE,the doctor and the staff spent a lot of time with me and made sure i had all of my concerns addressed  i didn     t feel rushed  i felt like the appointment was very thorough ,Positive
a2p1U000000RvbUQAS,0011U00000rjM7YQAU,everything   staff are very professional  caring  and helpful ,Positive
a2p1U000000Rpt2QAC,0011U00000rjZJwQAM,on time  very thorough  very helpful find right pharmacy  i     ll let them know walmart neighborhood does have a pharmacy ,Positive
a2p3g000000pisuAAA,0011U00000riGJuQAM,it was quick  on time  friendly  and very informative i had to wait several weeks before i could get an appointment ,Positive
a2p1U000000Roc8QAC,0011U00000rimkmQAA,receptionist was welcoming and knowledgeable that i was coming in  doctor was thorough in discussing all of my medical issuesi cant complain about anything in particular,Positive
a2p1U000000RoViQAK,0011U00000riWdqQAE,everything that no other doctor has done before  all of the above    excellent care  and customer servicenothing  everything was perfect ,Positive
a2p1U000000RoVAQA0,0011U00000rjR96QAE,everyone was great during my visit  even with emr issues  the visit was excellent  i     m seriously considering switching dr  mccay to be my pcp ,Positive
a2p3g000000LAdTAAW,0011U00000rk1MyQAI,great nurses  great office  only complaint is dr thomas has somewhat inconvenient office hours friendly  prompt staff and doctor everything went fine,Positive
a2p1U000000RqAsQAK,0011U00000rjsnQQAQ,not very convenient with limited time availabilitymeet all my requests,Positive
a2p3g000000LAePAAW,0011U000013jkAfQAI,ask me general and specialized questions to know what exactly was going on  went through the process of elimination to find out the best treatment option for me and explained in common terms to help me understand what we will be doing ,Positive
a2p1U000000RoG7QAK,0011U00000sh1MZQAY,i love that my doctor takes time to really listen to my concerns and needs and will address them in a manner that works well for me nothing,Positive
a2p1U000000RoXZQA0,0011U00000rhzluQAA,my appointment     s always go well for me and my family  thanks n a,Positive
a2p3g000000Kyn4AAC,0011U00000rjpFNQAY,everythingnothing,Positive
a2p1U000000l8JwQAI,0011U00000rjcTVQAY,paula and stephanie are amazing  your an actual person with them and not just a number on a chart ,Positive
a2p1U000000RoyuQAC,0011U00000rkBY5QAM,the doctor is always pleasant and through  receptionist is alwas friendly nothing,Positive
a2p1U000000RoolQAC,0011U00000rhxuIQAQ,everything was handled well from scheduling to check in to the appointment itself   very much appreciated the only point of confusion was that i was told on the phone i had an   am appointment  but email and website communications indicated a       appointment   ultimately  i got there in time for a       appointment  but was told it was really at      however  i was back in a room by        so it was better time than i ever would have seen from any other doctor i     ve visited before ,Positive
a2p3g000000LAd4AAG,0011U000011EpFJQA0,appreciated the time jera and dr  leahy took to hear my concerns and assess my conditionsi didn acirc  euro  trade t revive a written summary of my visit which needs to include follow up testing instructions  i had to call the office back ,Positive
a2p1U000000Rp7CQAS,0011U00000rhyp9QAA,offered great care  flu shot   was very informative regarding my health needs and habits  overall  excellent experience ,Positive
a2p1U000000Rp4cQAC,0011U00000rjLngQAE,everything was goodthey were a little late,Positive
